name,link,price,review_count,review_percentage,game_tags,Review_Category
God of War,https://store.steampowered.com/app/1593500/God_of_War/?snr=1_7_7_230_150_8,49.99,91888,83,"['Action', 'Singleplayer', 'Story Rich', 'Adventure', 'Mythology', 'Third Person', 'Combat', 'RPG', 'Hack and Slash', 'Violent', 'Open World', 'Fantasy', 'Exploration', 'Atmospheric', 'Gore', 'Action RPG', 'Emotional', 'Souls-like', '3D', 'PvE']",25000-100000
Planet Zoo,https://store.steampowered.com/app/703080/Planet_Zoo/?snr=1_7_7_230_150_8,20.99,66319,90,"['Management', 'Simulation', 'Building', 'Sandbox', 'Nature', 'City Builder', 'Economy', 'Realistic', 'Singleplayer', 'Family Friendly', 'Cute', 'Resource Management', 'Strategy', 'Great Soundtrack', 'Multiplayer', 'Relaxing', 'Open World', 'Casual', 'Funny', 'Horses']",25000-100000
Victoria 3,https://store.steampowered.com/app/529340/Victoria_3/?snr=1_7_7_230_150_8,29.99,28842,68,"['Grand Strategy', 'Historical', 'Political Sim', 'Economy', 'Strategy', 'Capitalism', 'Diplomacy', 'Management', 'Politics', 'Simulation', 'Alternate History', 'Moddable', 'Political', 'Real-Time with Pause', 'Resource Management', 'Replay Value', 'Singleplayer', 'Multiplayer', 'Sandbox', 'Military']",25000-100000
Victoria 3,https://store.steampowered.com/app/529340/Victoria_3/?snr=1_7_7_230_150_9,29.99,28842,68,"['Grand Strategy', 'Historical', 'Political Sim', 'Economy', 'Strategy', 'Capitalism', 'Diplomacy', 'Management', 'Politics', 'Simulation', 'Alternate History', 'Moddable', 'Political', 'Real-Time with Pause', 'Resource Management', 'Replay Value', 'Singleplayer', 'Multiplayer', 'Sandbox', 'Military']",25000-100000
FOR HONOR™,https://store.steampowered.com/app/304390/FOR_HONOR/?snr=1_7_7_230_150_9,23.99,88864,71,"['Medieval', 'Swordplay', 'Action', 'Multiplayer', 'Fighting', 'PvP', 'Third Person', 'War', 'Co-op', 'Gore', 'Singleplayer', 'Online Co-Op', 'Hack and Slash', 'Realistic', 'Strategy', 'Atmospheric', 'RPG', 'Fantasy', 'MOBA', 'Story Rich']",25000-100000
Chivalry 2,https://store.steampowered.com/app/1824220/Chivalry_2/?snr=1_7_7_230_150_9,39.99,29252,44,"['Massively Multiplayer', 'Swordplay', 'Medieval', 'Hack and Slash', 'Gore', 'Historical', 'Multiplayer', 'Action', 'PvP', 'First-Person', 'War', 'Combat', 'Military', 'FPS', '3D', 'Third Person', 'Atmospheric', 'Comedy', 'Wargame', '3D Fighter']",25000-100000
Outer Wilds,https://store.steampowered.com/app/753640/Outer_Wilds/?snr=1_7_7_230_150_9,12.99,56411,95,"['Exploration', 'Space', 'Mystery', 'Story Rich', 'Adventure', 'Great Soundtrack', 'Atmospheric', 'Puzzle', 'Open World', 'Singleplayer', 'Sci-fi', 'Indie', 'First-Person', 'Horror', 'Beautiful', 'Psychological Horror', 'Epic', 'Simulation', '3D', 'Action']",25000-100000
Lobotomy Corporation | Monster Management Simulation,https://store.steampowered.com/app/568220/Lobotomy_Corporation__Monster_Management_Simulation/?snr=1_7_7_230_150_9,24.99,30647,92,"['Management', 'Difficult', 'Simulation', 'Story Rich', 'Psychological Horror', 'Horror', 'Gore', 'Great Soundtrack', 'Indie', 'Singleplayer', 'Strategy', '2D', 'Cute', 'Lovecraftian', 'Anime', 'Atmospheric', 'RTS', 'Roguelike', 'Roguelite', 'Visual Novel']",25000-100000
Marvel’s Spider-Man Remastered,https://store.steampowered.com/app/1817070/Marvels_SpiderMan_Remastered/?snr=1_7_7_230_150_9,59.99,67317,84,"['Superhero', 'Open World', 'Action', 'Singleplayer', 'Story Rich', 'Adventure', 'Combat', 'Action-Adventure', 'Third Person', 'Parkour', 'Comic Book', 'Beautiful', 'Exploration', 'Stealth', 'Great Soundtrack', 'Funny', 'Atmospheric', 'Sci-fi', 'Multiplayer', 'Controller']",25000-100000
Besiege,https://store.steampowered.com/app/346010/Besiege/?snr=1_7_7_230_150_9,7.99,42561,93,"['Physics', 'Simulation', 'Building', 'Destruction', 'Sandbox', 'Logic', 'Medieval', 'Puzzle', 'Moddable', 'Replay Value', 'Flight', 'Online Co-Op', 'LEGO', 'Multiplayer', 'Robots', 'Naval Combat', 'Level Editor', 'Vehicular Combat', 'Dark Humor', 'Open World Survival Craft']",25000-100000
