name,link,price,review_count,review_percentage,game_tags,Review_Category
Mortal Kombat 1,https://store.steampowered.com/app/1971870/Mortal_Kombat_1/?snr=1_7_7_230_150_9,69.99,17122,66,"['Action', 'Fighting', 'Gore', 'Multiplayer', 'Blood', 'Martial Arts', 'Violent', '2D Fighter', 'PvP', 'Arcade', 'Story Rich', 'Character Customization', 'Singleplayer', '2.5D', 'Atmospheric', 'Competitive', 'Mature', 'Horror', '3D', 'Local Co-Op']",5000-25000
Pro Soccer Online,https://store.steampowered.com/app/1583320/Pro_Soccer_Online/?snr=1_7_7_230_150_9,3.0,16407,88,"['Sports', 'Football (Soccer)', 'Multiplayer', '3D', 'eSports', 'First-Person', 'Third Person', 'Real Time Tactics', 'Early Access', 'Team-Based', 'Competitive', 'Character Customization', 'PvP', 'Controller', 'Casual', 'Singleplayer', 'Free to Play', 'VR', 'Psychological Horror']",5000-25000
Jurassic World Evolution 2,https://store.steampowered.com/app/1244460/Jurassic_World_Evolution_2/?snr=1_7_7_230_150_9,26.99,22549,93,"['Dinosaurs', 'Building', 'Simulation', 'Management', 'Sandbox', 'Strategy', 'Singleplayer', 'City Builder', 'Economy', 'Resource Management', 'Sci-fi', 'Open World', 'Violent', 'Atmospheric', 'Sequel', 'Action', 'Survival', 'Base Building', 'Multiplayer', 'Casual']",5000-25000
Six Days in Fallujah,https://store.steampowered.com/app/1548850/Six_Days_in_Fallujah/?snr=1_7_7_230_150_9,11.99,8675,80,"['Early Access', 'Military', 'Tactical', 'FPS', 'Shooter', 'First-Person', 'Realistic', 'Co-op', 'PvE', 'Wargame', 'Historical', 'Hero Shooter', 'Team-Based', 'Action', 'Nonlinear', 'War', 'Stealth', 'Drama', 'Emotional', 'Modern']",5000-25000
Call of Duty®: Black Ops Cold War,https://store.steampowered.com/app/1985810/Call_of_Duty_Black_Ops_Cold_War/?snr=1_7_7_230_150_10,59.99,13740,81,"['Action', 'FPS', 'Multiplayer', 'Singleplayer', 'Zombies', 'Shooter', 'Military', 'First-Person', 'Cold War', 'Co-op', 'Gun Customization', 'PvP', 'Tactical', 'Online Co-Op', 'Gore', 'Violent', 'PvE', 'War', 'Sexual Content', 'Story Rich']",5000-25000
Beyond: Two Souls,https://store.steampowered.com/app/960990/Beyond_Two_Souls/?snr=1_7_7_230_150_10,15.99,17805,88,"['Adventure', 'Choices Matter', 'Story Rich', 'Female Protagonist', 'Cinematic', 'Singleplayer', 'Emotional', 'Sci-fi', 'Quick-Time Events', 'Dynamic Narration', 'Co-op', 'Third Person', 'Narration', 'Horror', 'Atmospheric', 'Thriller', 'Beautiful', 'Violent', 'Great Soundtrack', 'Drama']",5000-25000
Contraband Police,https://store.steampowered.com/app/756800/Contraband_Police/?snr=1_7_7_230_150_10,14.99,14506,94,"['Open World', 'First-Person', 'Action', 'Singleplayer', 'Multiple Endings', 'Simulation', 'Realistic', '1980s', 'Automobile Sim', 'FPS', 'Story Rich', 'Survival', 'Management', 'Immersive Sim', 'Action-Adventure', 'Detective', 'Physics', 'Destruction', 'Atmospheric', 'Indie']",5000-25000
Darkest Dungeon® II,https://store.steampowered.com/app/1940340/Darkest_Dungeon_II/?snr=1_7_7_230_150_10,18.99,14481,75,"['Turn-Based Tactics', 'Dungeon Crawler', 'Roguelite', 'Dark Fantasy', 'Lovecraftian', 'Singleplayer', 'Perma Death', 'CRPG', 'Roguelike', 'Story Rich', 'Turn-Based', 'Party-Based RPG', 'Hand-drawn', '2D', 'Procedural Generation', 'Gothic', 'Turn-Based Combat', 'RPG', 'Turn-Based Strategy', 'Stylized']",5000-25000
Construction Simulator,https://store.steampowered.com/app/1273400/Construction_Simulator/?snr=1_7_7_230_150_10,20.99,6593,83,"['Simulation', 'Multiplayer', 'Building', 'Online Co-Op', 'Relaxing', 'Open World', 'Realistic', 'Driving', 'Education', 'Immersive Sim', 'Transportation', 'Automobile Sim', 'Physics', 'First-Person', 'Casual', 'Third Person', 'City Builder', 'Family Friendly', 'Singleplayer', 'Female Protagonist']",5000-25000
Deep Rock Galactic: Survivor,https://store.steampowered.com/app/2321470/Deep_Rock_Galactic_Survivor/?snr=1_7_7_230_150_10,5.79,22811,85,"['Dwarf', 'Action Roguelike', 'Bullet Hell', 'Top-Down Shooter', 'Roguelite', 'PvE', 'Arena Shooter', 'Procedural Generation', 'Action', 'Arcade', 'Top-Down', 'Sci-fi', 'Space', 'Score Attack', 'Aliens', 'Singleplayer', 'Atmospheric', 'Combat', 'Early Access', 'Dark']",5000-25000
